Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
La poule a facettes,Musique,Annuelle,Mai,"47.2592432669,0.845873952159",Cormery,Centre-Val de Loire,37320,2012
Summer de graines,Musique,Annuelle,Mai,"43.8644095962,1.49043812706",Villemur Sur Tarn,Occitanie,31340,2019
Les suds en hiver (arles),Musique,Annuelle,Mars,"43.5468692378,4.66215642574",Arles,Provence-Alpes-Côte d'Azur,13123,2018
Zat (zone artistique temporaire),Théâtre,Annuelle,Juin,"43.6134409138,3.86851657896",Montpellier,Occitanie,34080,2007
Loir en zic,Musique,Annuelle,Juin,"45.0463267089,3.92401115104",Brives Charensac,Auvergne-Rhône-Alpes,43700,
La bonne aventure,Musique,Annuelle,Juin,"51.0307229078,2.33752414095",Dunkerque,Hauts-de-France,59430,2017
Morzine harley days,Musique,Biennale,Juillet,"46.1732135057,6.74252144427",Morzine,Auvergne-Rhône-Alpes,74110,
Festimome,Théâtre,Annuelle,Juillet,"43.2934843764,5.56331273477",Aubagne,Provence-Alpes-Côte d'Azur,13400,2005
Festival plage musicale en bangor,Musique,Annuelle,Juillet,"47.313014109,-3.1920046614",Bangor,Bretagne,56360,2006
Le grand son,Musique,Annuelle,Juillet,"45.331212571,5.79772583855",St Pierre De Chartreuse,Auvergne-Rhône-Alpes,38380,1988
De bouche a oreille en petite montagne,Musique,Annuelle,Juillet,"46.3963208,5.4577858737",St Julien,Bourgogne-Franche-Comté,39320,1990
Semaine acadienne,Musique,Annuelle,Aout,"49.3224328819,-0.39282763592",St Aubin Sur Mer,Normandie,14750,2006
Festival international d'opéra baroque de beaune,Musique,Annuelle,Juillet,"47.0255189366,4.83767985985",Beaune,Bourgogne-Franche-Comté,21200,1982
Festidreuz,Musique,Annuelle,Juillet,"47.8783078862,-4.01834628474",Fouesnant,Bretagne,29170,2004
Nomade reggae festival,Musique,Annuelle,Aout,"46.0231025542,5.92267414864",Frangy,Auvergne-Rhône-Alpes,74270,2015
Nuits de la terrasse et del catet,Théâtre,Annuelle,Juillet,"43.4132925116,3.15810877475",Thezan Les Beziers,Occitanie,34490,2001
Bastid'art,Théâtre,Annuelle,Aout,"44.5833450029,0.356429133423",Miramont De Guyenne,Nouvelle-Aquitaine,47800,1995
Dans ton kulte,Musique,Annuelle,Juillet,"46.2508985632,5.22302249216",Viriat,Auvergne-Rhône-Alpes,01440,2010
Festival de pages en plages,Livre,Annuelle,Juillet,"41.6654830708,9.31906773443",Lecci,Corse,20137,2016
Fete du bruit a saint nolff,Musique,Annuelle,Juillet,"47.6984675237,-2.66583210925",St Nolff,Bretagne,56250,
Pyhc fest,Musique,Annuelle,Juillet,"48.2787429774,3.1934739546",Pont Sur Yonne,Bourgogne-Franche-Comté,89140,2010
Festival du cinéma belge à nîmes et en garrigues,Cinéma,Annuelle,Juillet,"43.844938394,4.34806796996",Nimes,Occitanie,30900,2014
Festival de la mer,Musique,Annuelle,Juillet,"48.5343990673,-4.72936031932",Landunvez,Bretagne,29840,2003
Hortus live,Musique,Annuelle,Juillet,"43.8020094105,3.86188285063",Valflaunes,Occitanie,34270,2015
Insane festival,Musique,Annuelle,Aout,"43.879393265,5.38921757843",Apt,Provence-Alpes-Côte d'Azur,84400,2015
Classique au vert,Musique,Annuelle,Aout,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Africolor,Musique,Annuelle,Novembre,"48.9295650455,2.3592429975",St Denis,Île-de-France,93200,1989
